sku,name,category,price,image_url
sku-001,Classic Sneakers,Shoes,79.99,/images/products/Jordan Shoe Aesthetic.jpg
sku-002,Everyday Hoodie,Apparel,49.0,/images/products/Men wear.png
sku-003,Minimal Backpack,Accessories,59.5,/images/products/Shirts2.png
sku-004,Wireless Earbuds,Electronics,89.99,/images/products/Headphones.png
sku-005,Beauty Products,Beauty,29.99,/images/products/Beauty.png
sku-006,Printer,Electronics,149.99,/images/products/Printer.png
sku-007,Soundbox,Electronics,79.99,/images/products/Soundbox.png
sku-008,Wristwatch,Accessories,199.99,/images/products/Wristwatch.png
sku-009,Sportswear,Apparel,69.99,/images/products/Survêtement Sport Homme Luca _ Confort et Style au….jpg
sku-010,Resistance Pull Strap,Fitness,24.99,/images/products/Description Resistance Pull StrapThe new….jpg
sku-011,Pro Noise Cancelling Headphones,Electronics,129.99,/images/products/Headphones.png
sku-012,Precision Laptop Stand,Accessories,34.99,/images/products/macbook.jpg
sku-013,Tangerine Velvet Sneakers,Shoes,89.99,/images/products/Bulla Lace Up Tangerine Velvet — NODALETO.jpg
sku-014,Knit Winter Sweater,Apparel,59.99,/images/products/Aries Knit Sweater.jpg
sku-015,Streetwear Jacket,Apparel,114.99,/images/products/Carhartt Jacket Streetwear.jpg
sku-016,Urban Wireless Speakers,Electronics,99.99,/images/products/Urbanista Los Angeles Headphone Review.jpg
sku-017,Photography DSLR Camera,Electronics,499.99,/images/products/Nikon D810 Review - DTB Photography Reviews….jpg
sku-018,Seasonal Fashion Hoodie,Apparel,79.50,/images/products/Faites preuve d'audace_ Appropriez-vous la saison….jpg
sku-019,Racing Track Sneakers,Shoes,94.99,/images/products/Rhude and Pirelli Push the Gas on _Champion_….jpg
sku-020,Running Shoes,Shoes,69.99,/images/products/New Balance Women's 57_40.jpg
sku-021,Outdoor Fitness Kit,Fitness,54.99,/images/products/One type of sport could help you live longer via….jpg
sku-022,Gold Bracelet Set,Accessories,149.99,/images/products/Gold Luxury Bracelets Set _ Gift for Her _ 18K….jpg
sku-023,Stacked Fashion Watch,Accessories,119.99,/images/products/Cute Stacked Simple watch for fashionable women….jpg
sku-024,Portable Laptop Charger,Electronics,39.99,/images/products/From INIU—the SAFE Fast Charge Pro_ Experience the….jpg
sku-025,Travel Makeup Kit,Beauty,24.99,/images/products/Beauty1.png
